Mineprep:0.5 | 时间戳1779623115.5028656,中文,English,繁體中文,,,"② *生成器过滤类型{1:'👤', 2:'🟩' , 3:'🟥', 4:'🟨', 5:'🌊', 6:'📸', 7:'💡', 8:'👪', 9:'✨', 10:'🧱', 11:'𝓕', 12:'🔧'}",<2:放置生物>,<2:Mobs>,<2:放置生物>,,,,③,<3:预设素材>,<3:Preset>,<3:預設素材>,,,④,<4:附加组件>,<4:Attach>,<4:附加組件>,,,⑤,<5:枚举选项>,<5:Enum Options>,<5:枚舉選項>,,,,⑥,<6:放置方块>,<6:Blocks>,<6:放置方塊>,,,,⑦,<7:放置物品>,<7:Items>,<7:放置物品>
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,斑驳的铜活板门 [顶部],exposed_copper_trapdoor_top,斑駁嘅銅地板門 (斑駁的銅地板門) [頂部],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,斑驳的切制铜块,exposed_cut_copper,斑駁嘅切製銅磚 (斑駁的切製銅方塊),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,斑驳的切制铜台阶,exposed_cut_copper_slab,斑駁嘅切製銅半磚 (斑駁的切製銅半磚),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,斑驳的切制铜台阶 [顶部],exposed_cut_copper_slab_top,斑駁嘅切製銅半磚 (斑駁的切製銅半磚) [頂部],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,斑驳的切制铜楼梯,exposed_cut_copper_stairs,斑駁嘅切製銅樓梯 (斑駁的切製銅階梯),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,斑驳的切制铜楼梯 [内角],exposed_cut_copper_stairs_inner,斑駁嘅切製銅樓梯 (斑駁的切製銅階梯) [內角],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,斑驳的切制铜楼梯 [外角],exposed_cut_copper_stairs_outer,斑駁嘅切製銅樓梯 (斑駁的切製銅階梯) [外角],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,斑驳的避雷针,exposed_lightning_rod,斑駁的避雷針,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,耕地,farmland,耕地,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,耕地 [moist],farmland_moist,耕地 [moist],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,fence [物品栏],fence_inventory,fence [物品欄],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,fence [柱],fence_post,fence [柱],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,fence [侧面],fence_side,fence [側面],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,蕨,fern,蕨,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,💡,萤火虫灌木,firefly_bush,螢火蟲灌木,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🌊💡,火珊瑚,fire_coral,火珊瑚,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🌊💡,火珊瑚块,fire_coral_block,火珊瑚方塊,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🌊💡,火珊瑚扇,fire_coral_fan,扇狀火珊瑚,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🌊💡,墙上的火珊瑚扇,fire_coral_wall_fan,牆上嘅扇狀火珊瑚 (牆上的扇狀火珊瑚),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,💡,火 [floor0],fire_floor0,火 [floor0],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,💡,火 [floor1],fire_floor1,火 [floor1],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,💡,火 [side0],fire_side0,火 [side0],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,💡,火 [side1],fire_side1,火 [side1],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,💡,火 [side_alt0],fire_side_alt0,火 [side_alt0],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,💡,火 [side_alt1],fire_side_alt1,火 [side_alt1],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,💡,火 [up0],fire_up0,火 [up0],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,💡,火 [up1],fire_up1,火 [up1],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,💡,火 [up_alt0],fire_up_alt0,火 [up_alt0],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,💡,火 [up_alt1],fire_up_alt1,火 [up_alt1],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,制箭台,fletching_table,製箭台,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,花床 [1朵],flowerbed_1,花床 [1朵],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,花床 [2朵],flowerbed_2,花床 [2朵],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,花床 [3朵],flowerbed_3,花床 [3朵],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,花床 [4朵],flowerbed_4,花床 [4朵],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,盛开的杜鹃花丛,flowering_azalea,開花嘅杜鵑叢 (開花的杜鵑叢),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,盛开的杜鹃树叶,flowering_azalea_leaves,開花嘅杜鵑樹葉 (開花的杜鵑葉),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,花盆,flower_pot,花盆,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,花盆 [cross],flower_pot_cross,花盆 [cross],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,花盆 [cross_emissive],flower_pot_cross_emissive,花盆 [cross_emissive],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🌊💡,四个死亡海泡菜,four_dead_sea_pickles,四個死亡海泡菜,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🌊💡,四个海泡菜,four_sea_pickles,四個海泡菜,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🌊,四个微裂的海龟蛋,four_slightly_cracked_turtle_eggs,四個微裂的海龜蛋,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🌊,四个海龟蛋,four_turtle_eggs,四個海龜蛋,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🌊,四个严重裂开的海龟蛋,four_very_cracked_turtle_eggs,四個嚴重裂開的海龜蛋,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🌊,青蛙卵,frogspawn,青蛙卵,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🌊,霜冰 [0],frosted_ice_0,霜冰 [0],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🌊,霜冰 [1],frosted_ice_1,霜冰 [1],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🌊,霜冰 [2],frosted_ice_2,霜冰 [2],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🌊,霜冰 [3],frosted_ice_3,霜冰 [3],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,熔炉,furnace,熔爐,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤💡,熔炉 [激活],furnace_on,熔爐 [激活],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟥,镶金黑石,gilded_blackstone,鑲金黑石,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,玻璃,glass,玻璃,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,玻璃板 [noside],glass_pane_noside,玻璃片 [noside],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,玻璃板 [noside_alt],glass_pane_noside_alt,玻璃片 [noside_alt],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,玻璃板 [柱],glass_pane_post,玻璃片 [柱],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,玻璃板 [侧面],glass_pane_side,玻璃片 [側面],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,玻璃板 [side_alt],glass_pane_side_alt,玻璃片 [side_alt],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟥💡,荧石,glowstone,熒光石 (螢光石),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,荧光物品展示框,glow_item_frame,螢光物品展示框,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,荧光物品展示框 [map],glow_item_frame_map,螢光物品展示框 [map],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩💡,发光地衣,glow_lichen,發光地衣,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,金块,gold_block,金磚 (黃金方塊),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,金矿石,gold_ore,金礦,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,花岗岩,granite,花崗岩,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,花岗岩台阶,granite_slab,花崗岩半磚,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,花岗岩台阶 [顶部],granite_slab_top,花崗岩半磚 [頂部],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,花岗岩楼梯,granite_stairs,花崗岩樓梯 (花崗岩階梯),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,花岗岩楼梯 [内角],granite_stairs_inner,花崗岩樓梯 (花崗岩階梯) [內角],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,花岗岩楼梯 [外角],granite_stairs_outer,花崗岩樓梯 (花崗岩階梯) [外角],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,花岗岩 [墙上物品栏],granite_wall_inventory,花崗岩 [牆上物品欄],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,花岗岩 [墙上柱],granite_wall_post,花崗岩 [牆上柱],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,花岗岩 [墙上侧面],granite_wall_side,花崗岩 [牆上側面],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,花岗岩墙 [side_tall],granite_wall_side_tall,花崗岩牆 [side_tall],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,草方块,grass_block,草地,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩🌊,草方块 [snow],grass_block_snow,草地 [snow],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,沙砾,gravel,砂礫 (礫石),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤💡,插上灰色蜡烛的蛋糕,gray_candle_cake,插咗灰色蠟燭嘅蛋糕 (插上灰色蠟燭的蛋糕),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤💡,插上灰色蜡烛的蛋糕 [点亮],gray_candle_cake_lit,插咗灰色蠟燭嘅蛋糕 (插上灰色蠟燭的蛋糕) [點亮],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤💡,灰色蜡烛 [four_candles],gray_candle_four_candles,灰色蠟燭 [four_candles],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤💡,灰色蜡烛 [点亮],gray_candle_four_candles_lit,灰色蠟燭 [點亮],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤💡,灰色蜡烛 [one_candle],gray_candle_one_candle,灰色蠟燭 [one_candle],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤💡,灰色蜡烛 [点亮],gray_candle_one_candle_lit,灰色蠟燭 [點亮],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤💡,灰色蜡烛 [three_candles],gray_candle_three_candles,灰色蠟燭 [three_candles],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤💡,灰色蜡烛 [点亮],gray_candle_three_candles_lit,灰色蠟燭 [點亮],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤💡,灰色蜡烛 [two_candles],gray_candle_two_candles,灰色蠟燭 [two_candles],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤💡,灰色蜡烛 [点亮],gray_candle_two_candles_lit,灰色蠟燭 [點亮],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,灰色地毯,gray_carpet,灰色地氈 (灰色地毯),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,灰色混凝土,gray_concrete,灰色混凝土,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,灰色混凝土粉末,gray_concrete_powder,灰色混凝土粉末,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,灰色带釉陶瓦,gray_glazed_terracotta,灰色釉陶,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟨,灰色潜影盒,gray_shulker_box,灰色界伏盒,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,灰色染色玻璃,gray_stained_glass,灰色染色玻璃 (灰色玻璃),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,灰色染色玻璃板 [noside],gray_stained_glass_pane_noside,灰色染色玻璃片 (灰色玻璃片) [noside],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,灰色染色玻璃板 [noside_alt],gray_stained_glass_pane_noside_alt,灰色染色玻璃片 (灰色玻璃片) [noside_alt],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,灰色染色玻璃板 [柱],gray_stained_glass_pane_post,灰色染色玻璃片 (灰色玻璃片) [柱],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,灰色染色玻璃板 [侧面],gray_stained_glass_pane_side,灰色染色玻璃片 (灰色玻璃片) [側面],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,灰色染色玻璃板 [side_alt],gray_stained_glass_pane_side_alt,灰色染色玻璃片 (灰色玻璃片) [side_alt],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,灰色陶瓦,gray_terracotta,灰色陶瓦 (灰色陶土),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,灰色羊毛,gray_wool,灰色羊毛,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤💡,插上绿色蜡烛的蛋糕,green_candle_cake,插咗綠色蠟燭嘅蛋糕 (插上綠色蠟燭的蛋糕),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤💡,插上绿色蜡烛的蛋糕 [点亮],green_candle_cake_lit,插咗綠色蠟燭嘅蛋糕 (插上綠色蠟燭的蛋糕) [點亮],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤💡,绿色蜡烛 [four_candles],green_candle_four_candles,綠色蠟燭 [four_candles],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤💡,绿色蜡烛 [点亮],green_candle_four_candles_lit,綠色蠟燭 [點亮],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤💡,绿色蜡烛 [one_candle],green_candle_one_candle,綠色蠟燭 [one_candle],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤💡,绿色蜡烛 [点亮],green_candle_one_candle_lit,綠色蠟燭 [點亮],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤💡,绿色蜡烛 [three_candles],green_candle_three_candles,綠色蠟燭 [three_candles],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤💡,绿色蜡烛 [点亮],green_candle_three_candles_lit,綠色蠟燭 [點亮],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤💡,绿色蜡烛 [two_candles],green_candle_two_candles,綠色蠟燭 [two_candles],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤💡,绿色蜡烛 [点亮],green_candle_two_candles_lit,綠色蠟燭 [點亮],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,绿色地毯,green_carpet,綠色地氈 (綠色地毯),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,绿色混凝土,green_concrete,綠色混凝土,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,绿色混凝土粉末,green_concrete_powder,綠色混凝土粉末,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,绿色带釉陶瓦,green_glazed_terracotta,綠色釉陶,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟨,绿色潜影盒,green_shulker_box,綠色界伏盒,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,绿色染色玻璃,green_stained_glass,綠色染色玻璃 (綠色玻璃),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,绿色染色玻璃板 [noside],green_stained_glass_pane_noside,綠色染色玻璃片 (綠色玻璃片) [noside],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,绿色染色玻璃板 [noside_alt],green_stained_glass_pane_noside_alt,綠色染色玻璃片 (綠色玻璃片) [noside_alt],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,绿色染色玻璃板 [柱],green_stained_glass_pane_post,綠色染色玻璃片 (綠色玻璃片) [柱],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,绿色染色玻璃板 [侧面],green_stained_glass_pane_side,綠色染色玻璃片 (綠色玻璃片) [側面],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,绿色染色玻璃板 [side_alt],green_stained_glass_pane_side_alt,綠色染色玻璃片 (綠色玻璃片) [side_alt],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,绿色陶瓦,green_terracotta,綠色陶瓦 (綠色陶土),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,绿色羊毛,green_wool,綠色羊毛,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,砂轮,grindstone,砂輪,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,垂根,hanging_roots,懸根,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,干草捆,hay_block,乾草捆,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,干草捆 [横置],hay_block_horizontal,乾草捆 [橫置],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,沉重核心,heavy_core,沉重核心,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,重质测重压力板,heavy_weighted_pressure_plate,重質測重壓力板,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,重质测重压力板 [按下],heavy_weighted_pressure_plate_down,重質測重壓力板 [按下],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,蜜脾块,honeycomb_block,蜂巢蜜塊 (蜂巢塊),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,蜂蜜块,honey_block,蜜糖塊 (蜂蜜塊),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,漏斗,hopper,漏斗,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,漏斗 [侧面],hopper_side,漏斗 [側面],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🌊,鹿角珊瑚,horn_coral,角珊瑚,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🌊,鹿角珊瑚块,horn_coral_block,角珊瑚方塊,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🌊,鹿角珊瑚扇,horn_coral_fan,扇狀角珊瑚,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🌊,墙上的鹿角珊瑚扇,horn_coral_wall_fan,牆上嘅扇狀角珊瑚 (牆上的扇狀角珊瑚),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🌊,冰,ice,冰,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,内角楼梯模板,inner_stairs,內角樓梯模板,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,铁栏杆 [cap],iron_bars_cap,鐵欄杆 (鐵柵欄) [cap],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,铁栏杆 [cap_alt],iron_bars_cap_alt,鐵欄杆 (鐵柵欄) [cap_alt],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,铁栏杆 [柱],iron_bars_post,鐵欄杆 (鐵柵欄) [柱],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,铁栏杆 [post_ends],iron_bars_post_ends,鐵欄杆 (鐵柵欄) [post_ends],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,铁栏杆 [侧面],iron_bars_side,鐵欄杆 (鐵柵欄) [側面],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,铁栏杆 [side_alt],iron_bars_side_alt,鐵欄杆 (鐵柵欄) [side_alt],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,铁块,iron_block,鐵磚 (鐵方塊),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,铁锁链,iron_chain,鐵鏈,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,铁门 [底部左],iron_door_bottom_left,鐵門 [底部左],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,铁门 [底部左打开],iron_door_bottom_left_open,鐵門 [底部左打開],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,铁门 [底部右],iron_door_bottom_right,鐵門 [底部右],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,铁门 [底部右打开],iron_door_bottom_right_open,鐵門 [底部右打開],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,铁门 [顶部左],iron_door_top_left,鐵門 [頂部左],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,铁门 [顶部左打开],iron_door_top_left_open,鐵門 [頂部左打開],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,铁门 [顶部右],iron_door_top_right,鐵門 [頂部右],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,铁门 [顶部右打开],iron_door_top_right_open,鐵門 [頂部右打開],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,🟩,铁矿石,iron_ore,鐵礦,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,铁活板门 [底部],iron_trapdoor_bottom,鐵製地板門 (鐵地板門) [底部],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,铁活板门 [打开],iron_trapdoor_open,鐵製地板門 (鐵地板門) [打開],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,铁活板门 [顶部],iron_trapdoor_top,鐵製地板門 (鐵地板門) [頂部],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,物品展示框,item_frame,物品展示框,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,物品展示框 [map],item_frame_map,物品展示框 [map],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤💡,南瓜灯,jack_o_lantern,南瓜燈,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#,拼图方块,jigsaw,拼圖方塊,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤,唱片机,jukebox,唱片機,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,丛林木按钮,jungle_button,叢林木按鈕,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,丛林木按钮 [物品栏],jungle_button_inventory,叢林木按鈕 [物品欄],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,丛林木按钮 [按下],jungle_button_pressed,叢林木按鈕 [按下],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,丛林木门 [底部左],jungle_door_bottom_left,叢林木門 [底部左],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,丛林木门 [底部左打开],jungle_door_bottom_left_open,叢林木門 [底部左打開],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,丛林木门 [底部右],jungle_door_bottom_right,叢林木門 [底部右],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,丛林木门 [底部右打开],jungle_door_bottom_right_open,叢林木門 [底部右打開],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,丛林木门 [顶部左],jungle_door_top_left,叢林木門 [頂部左],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,丛林木门 [顶部左打开],jungle_door_top_left_open,叢林木門 [頂部左打開],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,丛林木门 [顶部右],jungle_door_top_right,叢林木門 [頂部右],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,丛林木门 [顶部右打开],jungle_door_top_right_open,叢林木門 [頂部右打開],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,👤🟩,丛林木栅栏门,jungle_fence_gate,叢林木閘門 (叢林木柵欄門),,,,,,,
